fundID;catalogueRecordID;siglaID;inventoryNumber;barCode;trackIndex;;
1;6;1;03:0000000001;0381000342902;84(2Рос)6;;
2;6;2;03:0000569374;0381003052471;84(2Рос)6;;
3;908872;1;03:0000000002;0381000342919;84(2Рос)6;;
4;8;1;03:0000000003;0381000342926;84(2Рос)6;;
6;9;1;03:0000000004;0381000342933;84(2Рос)6;;
11;10;1;03:0000000005;0381000342940;84(2Рос)6;;
12;11;1;03:0000000006;0381000342957;84(2Рос)6;;
13;12;1;03:0000000007;0381000342964;84(2Рос)6;;
14;13;1;03:0000000008;0381000342971;84(2Рос)6;;
15;14;1;03:0000000009;0381000342988;84(2Рос)6;;
16;15;1;03:0000000011;0381000342995;84(2Рос)6;;
17;16;1;03:0000000012;0381000343008;84(2Рос)6;;
18;17;1;03:0000000013;0381000343015;84(2Рос)6;;
19;18;1;03:0000000014;0381000343022;84(2Рос)6;;
20;19;1;03:0000000015;0381000343039;84(2Рос)6;;
21;20;13;03:0000677145;0381003375396;84(2Рос)6;;
22;20;9;03:0001052382;0381004700371;84(2Рос)6;;
23;20;9;03:0000735128;0381004815600;84(2Рос)6;;